"1 Health expenditure, key figures. 1997-2008",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,20071,20081,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total expenditure on health. NOK million,94 008, 105 500, 115 711, 124 728, 135 266, 150 029, 159 572, 168 237, 176 984, 186 761, 202 928, 217 162,,,,,,,,,,,,,,,,,,,,,,,,,,,
Capital formation of health care provider institutions. NOK million,5 635,7 480,8 945,8 496,9 778,9 528,10 262,10 956,11 163,11 392,12 768,12 588,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total current expenditure on health. NOK million,88 373,98 021, 106 766, 116 232, 125 488, 140 501, 149 310, 157 281, 165 820, 175 369, 190 160, 204 574,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total expenditure on healt in current prices per capita,21 340,23 807,25 933,27 773,29 968,33 059,34 957,36 638,38 281,40 072,43 092,45 544,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total expenditures on health financed by private sources. NOK million,17 568,18 791,20 184,21 844,22 242,24 791,25 997,27 661,29 202,30 298,32 282,34 322,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total expentditure on health financed by public sources. NOK million,76 440,86 709,95 527, 102 884, 113 024, 125 238, 133 575, 140 576, 147 782, 156 463, 170 646, 182 840,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total expenditure on health at constant NOK in 2000. NOK million, 108 391, 114 248, 121 512, 124 728, 128 933, 139 294, 143 087, 147 107, 150 441, 152 561, 156 561, 159 275,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total expenditure on health at constant NOK in 2000. Percentage change in volume from the previous year,,5.4,6.4,2.6,3.4,8.0,2.7,2.8,2.3,1.4,2.6,1.7,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total expenditure on health at constant NOK in 2000 per capita,24 606,25 781,27 233,27 773,28 564,30 694,31 345,32 036,32 540,32 734,33 246,33 404,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total expenditure on health at constant 2000-prices per capita. Percentage change in volume from the previous year,,4.8,5.6,2.0,2.8,7.5,2.1,2.2,1.6,0.6,1.6,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total expenditure on healt in current prices in per cent of GDP,8.4,9.3,9.3,8.4,8.8,9.8,10.0,9.7,9.1,8.6,8.9,8.6,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total expenditure on health in current prices in per cent of GDP Mainland Norway,10.2,10.6,11.1,11.2,11.5,12.3,12.5,12.4,12.2,11.8,11.8,11.8,,,,,,,,,,,,,,,,,,,,,,,,,,,
Share of total expenditure on health funded by the public sector. Per cent,81.3,82.2,82.6,82.5,83.6,83.5,83.7,83.6,83.5,83.8,84.1,84.2,,,,,,,,,,,,,,,,,,,,,,,,,,,
Share og total expenditure on health funded by private sector. Per cent,18.7,17.8,17.4,17.5,16.4,16.5,16.3,16.4,16.5,16.2,15.9,15.8,,,,,,,,,,,,,,,,,,,,,,,,,,,
Public share of health spending in per cent of general government total expenditure,15.8,16.7,17.4,17.7,17.9,18.6,18.4,18.9,19.2,19.1,19.5,19.1,,,,,,,,,,,,,,,,,,,,,,,,,,,
1 ,Preliminary figures.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
