"Proportion of foreign-born population, by province and territory (1991 to 2001 Censuses)",,,
,1991%,1996%,2001%
Canada,16.1,17.4,18.4
Newfoundland and Labrador,1.5,1.6,1.6
Prince Edward Island,3.2,3.3,3.1
Nova Scotia,4.4,4.7,4.6
New Brunswick,3.3,3.3,3.1
Quebec,8.7,9.4,9.9
Ontario,23.7,25.6,26.8
Manitoba,12.8,12.4,12.1
Saskatchewan,5.9,5.4,5
Alberta,15.1,15.2,14.9
British Columbia,22.3,24.5,26.1
Yukon,10.7,10.4,10.6
Northwest Territories,4.9,4.8,6.4
Nunavut,…,…,1.7
... : not applicable.,,,
"Source : Statistics Canada, Census of Population.",,,
Last modified: 2005-01-26.,,,
,,,
