token,count,percent
,494,6.82977717953569e-08
,99,1.3687205278826583e-08
,80,1.1060367902082087e-08
,17,2.3503281791924437e-09
,27,3.732874166952704e-09
,17,2.3503281791924437e-09
,12,1.659055185312313e-09
,49,6.774475340025278e-09
,301,4.161463423158385e-08
	,13528676,0.0018704016723508536
,24,3.318110370624626e-09
,1071,1.4807067528912394e-07
,20,2.765091975520522e-09
,34,4.700656358384887e-09
,28,3.87112876572873e-09
,26,3.5946195681766785e-09
,33,4.562401759608861e-09
,20,2.765091975520522e-09
,21,2.903346574296548e-09
,8,1.1060367902082088e-09
,30,4.147637963280783e-09
,290,4.009383364504757e-08
,90,1.2442913889842348e-08
,1758,2.430515846482539e-07
,18,2.4885827779684697e-09
 ,1946559743,0.2691208362620295
!,5035856,0.0006962302507738437
"""",205434839,0.028402311240562517
#,18270233,0.0025259437329595113
$,3354829,0.00046382053735717686
%,6569729,0.0009082952469622231
&,15065761,0.0020829107423105016
',46962633,0.0064927999828807625
(,22556003,0.003118471144755841
),23846352,0.003296867828031887
*,1590490,0.00021989255680728175
+,5403567,0.000747067987544375
",",855183330,0.11823302816909592
-,108891926,0.015054809539078723
.,273597905,0.037826168581736305
/,136077531,0.018813344450837252
:,51483229,0.007117793169089271
;,35125259,0.004856228589948999
<,43850528,0.006062537154756898
=,16479436,0.0022783578122352005
>,45296952,0.006262511924536912
?,14935773,0.0020649393035248034
@,1385952,0.0001916142376828309
A*,62873344,0.008692528948427067
L,59963611,0.008290244979966705
L*,100266443,0.013862296847664289
T*,319418421,0.044161065637026785
[,5393994,0.0007457444762702921
[MASK],477,6.594744361616445e-08
\,10885502,0.0015049707114856295
],5392050,0.0007454757093302715
^,274126,3.7899180144076926e-05
_,50278846,0.006951281680651605
`,310440,4.291975764402954e-05
d,315099463,0.04356394983160628
d*,403519564,0.055788435419096984
l,139329336,0.019262921446410126
l*,1835920701,0.25382447990135554
s,2256277,0.0003119406713625758
{,3802472,0.0005257092407170735
|,13247584,0.0018315394106717029
},3798149,0.0005251115660865648
~,398528,5.509832874101213e-05
,608,8.405879605582386e-08
,2802,3.873893857704251e-07
,560,7.742257531457461e-08
,2259,3.123171386350429e-07
,13010,1.7986923300760995e-06
,65,8.986548920441696e-09
,19,2.6268373767444958e-09
,56,7.74225753145746e-09
,81,1.1198622500858114e-08
,201,2.7789174353981243e-08
,45,6.221456944921174e-09
