Accession,Description,# peptides,Average ratio,StDev
SL2256,SseL conserved hypothetical protein 2392511:2393464 forward MW:35481,2.0,0.08084996112982637,
SL4267,GroEL protein 4595692:4597338 forward MW:57286,35.0,0.23749676081886495,0.04
SL3392,50S ribosomal subunit protein L6 3610350:3610883 reverse MW:18859,10.0,0.2748898678414097,0.06
SL0217,30S ribosomal protein S2 254293:255018 forward MW:26758,6.0,0.33148484063228817,0.12
SL4011,6-phosphofructokinase 4293768:4294730 forward MW:34915,8.0,0.3577610779994817,0.02
SL2335,acetyl-CoA carboxylase beta subunit 2476406:2477320 reverse MW:33216,9.0,0.3830266908525524,0.06
SL1528,putative putative aldehyde dehydrogenase 1643687:1645132 reverse MW:52038,7.0,0.3840373153666753,
SL2809,RecA protein 2997430:2998491 reverse MW:37944,4.0,0.3951541850220264,
SL0133,cell division protein FtsZ 155686:156837 forward MW:40324,5.0,0.42244104690334283,0.01
SL3415,30S ribosomal subunit protein S12 3623817:3624191 reverse MW:13737,5.0,0.4315366675304483,
SL4089,50S ribosomal subunit protein L1 4384868:4385572 forward MW:24728,10.0,0.4345685410728167,0.08
SL0454,putative putative ABC transporter ATP-binding membrane protein 516253:518025 forward MW:66133,11.0,0.4345685410728167,0.19
SL3620,"glycine-tRNA synthetase, beta subunit 3861085:3863154 reverse MW:76453",9.0,0.45073853329878205,0.05
SL0443,ATP-dependent clp protease ATP-binding subunit ClpX 503571:504842 forward MW:46176,6.0,0.46286602746825595,0.15
SL3407,50S ribosomal subunit protein L3 3617039:3617668 reverse MW:22247,9.0,0.4760041461518528,0.06
SL1631,enoyl-[acyl-carrier-protein] reductase (NADH) 1748989:1749777 forward MW:27761,6.0,0.4820678932365897,0.01
SL1497,alcohol dehydrogenase 1604728:1605657 forward MW:32528,6.0,0.49015288934957235,0.07
SL1272,Phenylalanyl-tRNA synthetase beta chain 1373530:1375917 forward MW:87326,6.0,0.5053122570614148,0.01
SL3955,GTP-binding protein 4238822:4240645 forward MW:67345,5.0,0.5174397512308888,
SL3876,transcription termination factor 4147129:4148388 forward MW:46993,9.0,0.5396734905415911,0.03
SL1836,Aspartyl-tRNA synthetase 1952678:1954450 reverse MW:65667,6.0,0.5447266131122053,0.06
SL1267,Threonyl-tRNA synthetase 1369055:1370983 forward MW:73979,14.0,0.5507903601969422,0.06
SL0910,formate acetyltransferase 1 1011663:1013945 reverse MW:85005,8.0,0.5760559730500129,0.04
SL2807,Alanyl-tRNA synthetase 2993947:2996577 reverse MW:95900,3.0,0.5912153407618553,0.15
SL2393,cysteine synthase A 2540947:2541918 forward MW:34536,15.0,0.6023322104172064,0.11
SL3395,50S ribosomal subunit protein L5 3611642:3612181 reverse MW:20317,10.0,0.610417206530189,0.15
SL0918,30S ribosomal protein S1 1022358:1024031 forward MW:61173,17.0,0.6245659497279087,0.17
SL4058,glycerol dehydrogenase 4344141:4345244 reverse MW:38741,14.0,0.6306296968126457,0.08
SL0441,trigger factor 501151:502449 forward MW:48067,8.0,0.6417465664679969,0.03
SL1225,glyceraldehyde 3-phosphate dehydrogenase A 1325546:1326541 reverse MW:35586,4.0,0.6700440528634362,0.22
SL3317,50S ribosomal subunit protein L13 3534231:3534659 reverse MW:16018,6.0,0.6720653018916818,0.07
SL3834,ATP synthase alpha subunit 4097745:4099286 reverse MW:55113,34.0,0.6872246696035241,0.11
