Accession #,Primary Sequence Name,Sequence Description
NM_013451,FER1L3,"Fer-1-like 3, myoferlin (C. elegans)"
NM_033082,CIP29,cytokine induced protein 29 kDa
NM_005822,RCAN2,Down syndrome critical region gene 1-like 1
NM_002038,IFI6,"Interferon, alpha-inducible protein 6"
NM_006988,ADAMTS1,"ADAM metallopeptidase with thrombospondin type 1 motif, 1"
NM_005532,IFI27,"Interferon, alpha-inducible protein 27"
NM_015507,EGFL6,"EGF-like-domain, multiple 6"
NM_002416,CXCL9,Chemokine (C-X-C motif) ligand 9
NM_138557,TLR4,Toll-like receptor 4
NM_016235,GPRC5B,"G protein-coupled receptor, family C, group 5, member B"
NM_005940,MMP11,Matrix metallopeptidase 11 (stromelysin 3)
NM_000384,APOB,Apolipoprotein B (including Ag(x) antigen)
NM_001926,DEFA6,"Defensin, alpha 6, Paneth cell-specific"
NM_007173,PRSS23,"Protease, serine, 23"
NM_023932,DLK2,"EGF-like-domain, multiple 9"
NM_014509,SERHL2,Serine hydrolase-like 2
NM_170694,SERHL,Serine hydrolase-like
NM_002462,MX1,"Myxovirus (influenza virus) resistance 1, interferon-inducible protein p78 (mouse)"
NM_012252,TFEC,Transcription factor EC
NM_004043,ASMT,Chromosome X and Y open reading frame 3
NM_006578,GNB5,"Guanine nucleotide binding protein (G protein), beta 5"
NM_153426,PITX2,Paired-like homeodomain transcription factor 2
NM_018361,AGPAT5,"1-acylglycerol-3-phosphate O-acyltransferase 5 (lysophosphatidic acid acyltransferase, epsilon)"
NM_015429,ABI3BP,"ABI gene family, member 3 (NESH) binding protein"
NM_183079,PRNP,"Prion protein (p27-30) (Creutzfeldt-Jakob disease, Gerstmann-Strausler-Scheinker syndrome, fatal familial insomnia)"
NM_001007466,TULP4,Tubby like protein 4
NM_015293,SYNE1,"Spectrin repeat containing, nuclear envelope 1"
NM_002922,RGS1,Regulator of G-protein signalling 1
NM_144578,C14orf32,Chromosome 14 open reading frame 32
NM_133477,SYNPO2,Synaptopodin 2
NM_005159,ACTC1,"Actin, alpha, cardiac muscle 1"
NM_004040,RHOB,"Ras homolog gene family, member B"
NM_030915,LBH,Limb bud and heart development homolog (mouse)
NM_001846,COL4A2,"Collagen, type IV, alpha 2"
NM_002816,PSMD12,"Proteasome (prosome, macropain) 26S subunit, non-ATPase, 12"
NM_019011,TRIAD3,TRIAD3 protein
NM_005595,NFIA,Nuclear factor I/A
NM_019605,SERTAD4,SERTA domain containing 4
NM_015565,ZNF294,Zinc finger protein 294
NM_014974,DIP2C,DIP2 disco-interacting protein 2 homolog C (Drosophila)
NM_002026,FN1,Fibronectin 1
BQ420677,KIF5B,Kinesin family member 5B
NM_014900,COBLL1,COBL-like 1
NM_001618,PARP1,"Poly (ADP-ribose) polymerase family, member 1"
NM_003970,MYOM2,"Myomesin (M-protein) 2, 165kDa"
NM_002249,KCNN3,"Potassium intermediate/small conductance calcium-activated channel, subfamily N, member 3"
NM_001541,HSPB2,Heat shock 27kDa protein 2
NM_032255,ZNF541,Zinc finger protein 541
NM_172220,CSF3,Colony stimulating factor 3 (granulocyte)
NM_172219,CSF3,Colony stimulating factor 3 (granulocyte)
NM_021638,AFAP1,Actin filament associated protein 1
NM_002599,PDE2A,"Phosphodiesterase 2A, cGMP-stimulated"
NM_004949,DSC2,Desmocollin 2
NM_173662,RNF175,Ring finger protein 175
NM_173493,PASD1,PAS domain containing 1
NM_001179,ART3,ADP-ribosyltransferase 3
NM_014002,IKBKE,"Inhibitor of kappa light polypeptide gene enhancer in B-cells, kinase epsilon"
NM_006597,HSPA8,Heat shock 70kDa protein 8
NM_001824,CKM,"Creatine kinase, muscle"
NM_002155,HSPA6,Heat shock 70kDa protein 6 (HSP70B')
NM_000697,ALOX12,Arachidonate 12-lipoxygenase
NM_018148,LINS1,Lines homolog 1 (Drosophila)
NM_013238,DNAJC15,"DnaJ (Hsp40) homolog, subfamily C, member 15"
NM_002371,MAL,"Mal, T-cell differentiation protein"
NM_001712,CEACAM1,Carcinoembryonic antigen-related cell adhesion molecule 1 (biliary glycoprotein)
NM_033103,RHPN2,"Rhophilin, Rho GTPase binding protein 2"
NM_000998,RPL37A,Ribosomal protein L37a
NM_139161,CRB3,Crumbs homolog 3 (Drosophila)
NM_174881,CRB3,Crumbs homolog 3 (Drosophila)
NM_144686,TMC4,Transmembrane channel-like 4
NM_005947,MT1B,Metallothionein 1B
NM_015277,NEDD4L,"Neural precursor cell expressed, developmentally down-regulated 4-like"
NM_015327,SMG5,"Smg-5 homolog, nonsense mediated mRNA decay factor (C. elegans)"
NM_145804,ABTB2,Ankyrin repeat and BTB (POZ) domain containing 2
NM_033086,FGD3,"FYVE, RhoGEF and PH domain containing 3"
NM_018316,KLHL26,Kelch-like 26 (Drosophila)
NM_001267,CHAD,Chondroadherin
NM_144575,CAPN13,Calpain 13
NM_004624,VIPR1,Vasoactive intestinal peptide receptor 1
NM_017509,KLK15,Kallikrein-related peptidase 15
NM_014475,DHDH,Dihydrodiol dehydrogenase (dimeric)
NM_004420,DUSP8,Dual specificity phosphatase 8
BG683833,KRM_1_05496,"602651687T1 NIH_MGC_47 Homo sapiens cDNA clone IMAGE:4761813 3', mRNA sequence."
NM_017682,BEST2,Bestrophin 2
NM_004591,CCL20,Chemokine (C-C motif) ligand 20
NM_023080,C8orf33,Chromosome 8 open reading frame 33
NM_005950,MT1G,Metallothionein 1G
NM_182504,WBSCR28,Williams-Beuren syndrome chromosome region 28
NM_017977,AIM1L,Absent in melanoma 1-like
NM_012118,CCRN4L,CCR4 carbon catabolite repression 4-like (S. cerevisiae)
NM_006890,CEACAM7,Carcinoembryonic antigen-related cell adhesion molecule 7
NM_000355,TCN2,Transcobalamin II; macrocytic anemia
NM_004905,PRDX6,Peroxiredoxin 6
NM_030753,WNT3,"Wingless-type MMTV integration site family, member 3"
NM_003399,XPNPEP2,"X-prolyl aminopeptidase (aminopeptidase P) 2, membrane-bound"
NM_002396,ME2,"Malic enzyme 2, NAD(+)-dependent, mitochondrial"
NM_139247,ADCY4,Adenylate cyclase 4
NM_001004475,OR10T2,"Olfactory receptor, family 10, subfamily T, member 2"
NM_080839,GGTL4,Gamma-glutamyltransferase-like 4
NM_003167,SULT2A1,"Sulfotransferase family, cytosolic, 2A, dehydroepiandrosterone (DHEA)-preferring, member 1"
NM_005747,ELA3A,"Elastase 3A, pancreatic"
NM_013421,GGT1,gamma-glutamyltransferase 1
NM_007122,USF1,Upstream transcription factor 1
NM_024943,TMEM156,Transmembrane protein 156
NM_005693,NR1H3,"Nuclear receptor subfamily 1, group H, member 3"
NM_153840,GPR110,G protein-coupled receptor 110
